,Unnamed: 0,Unnamed: 1,И,В,Н,П,З,П.1,+/-,О
0,1,Бавария,32,20,8,4,89,34,55,68
1,2,Боруссия Дортмунд,32,21,4,7,78,42,36,67
2,3,РБ Лейпциг,32,18,6,8,57,38,19,60
3,4,Унион Берлин,32,17,8,7,48,34,14,59
4,5,Фрайбург,32,16,8,8,48,42,6,56
5,6,Вольфсбург,32,13,10,9,56,44,12,49
6,7,Байер,32,14,7,11,55,44,11,49
7,8,Айнтрахт Франкфурт,32,12,10,10,54,49,5,46
8,9,Майнц,32,12,9,11,51,49,2,45
9,10,Кёльн,32,10,11,11,47,51,-4,41
10,11,Боруссия М,32,10,9,13,48,53,-5,39
11,12,Вердер,32,10,5,17,50,62,-12,35
12,13,Аугсбург,32,9,7,16,42,58,-16,34
13,14,Хоффенхайм,32,9,5,18,43,54,-11,32
14,15,Бохум,32,9,4,19,36,71,-35,31
15,16,Шальке,32,7,9,16,31,65,-34,30
16,17,Штутгарт,32,6,11,15,40,55,-15,29
17,18,Герта,32,6,7,19,39,67,-28,25
